   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   38.0  22370  -64.5  -92.7      1   0.00     80     37  531.1  531.1  531.1
   35.0  22871  -63.4  -92.8      1   0.00    100     49  546.7  546.7  546.7
   33.8  23083  -62.9  -92.9      1   0.00     96     54  553.4  553.4  553.4
   32.4  23344  -63.5  -93.5      1   0.00     90     59  558.5  558.6  558.5
   31.0  23617  -62.0  -92.6      1   0.00     85     65  569.7  569.7  569.7
   30.0  23820  -60.9  -91.9      1   0.00     90     67  578.0  578.1  578.0
   27.0  24488  -58.4  -90.0      1   0.00     95     74  602.7  602.8  602.7
   26.7  24559  -58.1  -89.8      1   0.00     95     74  605.4  605.5  605.4
   20.9  26111  -52.3  -85.3      1   0.01     95     60  666.9  667.0  666.9
   20.2  26331  -53.1  -86.1      1   0.01     95     58  671.0  671.1  671.0
